"측정일자","권역코드","권역명","측정소코드","측정소명","미세먼지(㎍/㎥)","오존(ppm)","이산화질소농도(ppm)","일산화탄소농도(ppm)","아황산가스농도(ppm)","초미세먼지(㎍/㎥)"
"20201231","100","도심권","111121","중구","29","0.02","0.016","0.4","0.003","13"
"20201231","100","도심권","111123","종로구","28","0.022","0.016","0.4","0.003","12"
"20201231","100","도심권","111131","용산구","34","0.014","0.019","0.4","0.003","10"
"20201231","101","서북권","111181","은평구","26","0.023","0.016","0.5","0.004","10"
"20201231","101","서북권","111191","서대문구","20","0.02","0.017","0.5","0.004","10"
"20201231","101","서북권","111201","마포구","23","0.015","0.022","0.4","0.003","9"
"20201231","102","동북권","111141","광진구","24","0.013","0.02","0.5","0.002","12"
"20201231","102","동북권","111142","성동구","22","0.02","0.028","0.4","0.003","12"
"20201231","102","동북권","111151","중랑구","24","0.015","0.026","0.5","0.003","10"
"20201231","102","동북권","111152","동대문구","21","0.019","0.02","0.4","0.003","12"
"20201231","102","동북권","111161","성북구","23","0.015","0.023","0.7","0.004","9"
"20201231","102","동북권","111171","도봉구","20","0.022","0.014","0.3","0.002","11"
"20201231","102","동북권","111291","강북구","30","0.02","0.013","0.4","0.004","12"
"20201231","102","동북권","111311","노원구","27","0.021","0.018","0.4","0.003","14"
"20201231","103","서남권","111212","강서구","27","0.019","0.021","0.3","0.004","10"
"20201231","103","서남권","111221","구로구","27","0.017","0.023","0.4","0.004","5"
"20201231","103","서남권","111231","영등포구","23","0.015","0.021","0.5","0.003","10"
"20201231","103","서남권","111241","동작구","30","0.016","0.023","0.4","0.003","13"
"20201231","103","서남권","111251","관악구","22","0.014","0.027","0.4","0.004","9"
"20201231","103","서남권","111281","금천구","29","0.016","0.025","0.5","0.003","13"
"20201231","103","서남권","111301","양천구","29","0.015","0.024","0.5","0.003","12"
"20201231","104","동남권","111261","강남구","21","0.019","0.02","0.4","0.004","11"
"20201231","104","동남권","111262","서초구","25","0.018","0.023","0.3","0.004","8"
"20201231","104","동남권","111273","송파구","24","0.017","0.027","0.5","0.004","12"
"20201231","104","동남권","111274","강동구","28","0.017","0.022","0.4","0.003","15"
"20201230","100","도심권","111121","중구","38","0.022","0.01","0.4","0.002","13"
"20201230","100","도심권","111123","종로구","39","0.023","0.011","0.4","0.003","15"
"20201230","100","도심권","111131","용산구","44","0.017","0.011","0.3","0.003","11"
"20201230","101","서북권","111181","은평구","37","0.024","0.011","0.5","0.004","12"
"20201230","101","서북권","111191","서대문구","29","0.022","0.011","0.4","0.004","12"
"20201230","101","서북권","111201","마포구","28","0.018","0.013","0.4","0.002","10"
"20201230","102","동북권","111141","광진구","32","0.017","0.011","0.4","0.002","14"
"20201230","102","동북권","111142","성동구","30","0.022","0.017","0.3","0.003","14"
"20201230","102","동북권","111151","중랑구","32","0.019","0.016","0.4","0.003","13"
"20201230","102","동북권","111152","동대문구","30","0.022","0.012","0.4","0.003","15"
"20201230","102","동북권","111161","성북구","34","0.02","0.013","0.6","0.003","11"
"20201230","102","동북권","111171","도봉구","30","0.026","0.005","0.3","0.002","12"
"20201230","102","동북권","111291","강북구","43","0.022","0.006","0.3","0.003","15"
"20201230","102","동북권","111311","노원구","38","0.026","0.01","0.4","0.003","16"
"20201230","103","서남권","111212","강서구","31","0.024","0.012","0.2","0.003","12"
"20201230","103","서남권","111221","구로구","33","0.023","0.014","0.3","0.003","7"
"20201230","103","서남권","111231","영등포구","27","0.019","0.013","0.4","0.002","11"
"20201230","103","서남권","111241","동작구","36","0.021","0.013","0.3","0.002","14"
"20201230","103","서남권","111251","관악구","26","0.019","0.015","0.4","0.003","10"
"20201230","103","서남권","111281","금천구","34","0.021","0.016","0.4","0.003","15"
"20201230","103","서남권","111301","양천구","33","0.019","0.015","0.4","0.003","13"
"20201230","104","동남권","111261","강남구","29","0.02","0.014","0.4","0.003","14"
"20201230","104","동남권","111262","서초구","38","0.021","0.014","0.2","0.003","10"
"20201230","104","동남권","111273","송파구","31","0.021","0.018","0.4","0.003","13"
"20201230","104","동남권","111274","강동구","38","0.022","0.011","0.4","0.002","17"
"20201229","100","도심권","111121","중구","78","0.012","0.036","0.8","0.003","49"
"20201229","100","도심권","111123","종로구","69","0.011","0.035","0.9","0.004","46"
"20201229","100","도심권","111131","용산구","74","0.006","0.033","0.7","0.003","44"
"20201229","101","서북권","111181","은평구","65","0.013","0.026","0.8","0.004","46"
"20201229","101","서북권","111191","서대문구","57","0.011","0.03","1","0.005","50"
"20201229","101","서북권","111201","마포구","61","0.009","0.038","0.8","0.003","50"
"20201229","102","동북권","111141","광진구","60","0.008","0.032","0.9","0.003","44"
"20201229","102","동북권","111142","성동구","60","0.011","0.04","0.9","0.004","44"
"20201229","102","동북권","111151","중랑구","64","0.011","0.038","0.9","0.004","39"
"20201229","102","동북권","111152","동대문구","60","0.011","0.037","0.9","0.004","49"
"20201229","102","동북권","111161","성북구","65","0.01","0.036","1","0.003","43"
"20201229","102","동북권","111171","도봉구","62","0.015","0.024","0.7","0.003","49"
"20201229","102","동북권","111291","강북구","68","0.014","0.026","0.7","0.004","44"
"20201229","102","동북권","111311","노원구","70","0.015","0.032","0.8","0.004","50"
"20201229","103","서남권","111212","강서구","80","0.013","0.032","0.5","0.004","50"
"20201229","103","서남권","111221","구로구","73","0.011","0.035","0.6","0.004","54"
"20201229","103","서남권","111231","영등포구","68","0.009","0.036","0.9","0.003","55"
"20201229","103","서남권","111241","동작구","68","0.011","0.039","0.7","0.003","49"
"20201229","103","서남권","111251","관악구","60","0.008","0.043","0.9","0.004","42"
"20201229","103","서남권","111281","금천구","70","0.01","0.038","0.8","0.003","50"
"20201229","103","서남권","111301","양천구","77","0.01","0.036","0.8","0.004","54"
"20201229","104","동남권","111261","강남구","60","0.008","0.041","0.9","0.004","51"
"20201229","104","동남권","111262","서초구","76","0.011","0.036","0.6","0.003","54"
"20201229","104","동남권","111273","송파구","61","0.008","0.042","0.9","0.004","48"
"20201229","104","동남권","111274","강동구","68","0.012","0.033","0.7","0.003","50"
"20201228","100","도심권","111121","중구","73","0.009","0.053","0.9","0.004","46"
