시점,분류,범죄발생시간,데이터
2016,상해,00:00~02:59,6054
2016,상해,03:00~05:59,4735
2016,상해,06:00~08:59,3027
2016,상해,09:00~11:59,3982
2016,상해,12:00~14:59,3839
2016,상해,15:00~17:59,4687
2016,상해,18:00~20:59,6470
2016,상해,21:00~23:59,10354
2016,폭행,00:00~02:59,22672
2016,폭행,03:00~05:59,18194
2016,폭행,06:00~08:59,9597
2016,폭행,09:00~11:59,11261
2016,폭행,12:00~14:59,11586
2016,폭행,15:00~17:59,14027
2016,폭행,18:00~20:59,21765
2016,폭행,21:00~23:59,39182
2016,체포·감금,00:00~02:59,103
2016,체포·감금,03:00~05:59,92
2016,체포·감금,06:00~08:59,103
2016,체포·감금,09:00~11:59,146
2016,체포·감금,12:00~14:59,128
2016,체포·감금,15:00~17:59,169
2016,체포·감금,18:00~20:59,183
2016,체포·감금,21:00~23:59,200
2016,협박,00:00~02:59,1081
2016,협박,03:00~05:59,797
2016,협박,06:00~08:59,1047
2016,협박,09:00~11:59,1810
2016,협박,12:00~14:59,1710
2016,협박,15:00~17:59,1973
2016,협박,18:00~20:59,2279
2016,협박,21:00~23:59,2711
2016,약취·유인,00:00~02:59,7
2016,약취·유인,03:00~05:59,9
2016,약취·유인,06:00~08:59,9
2016,약취·유인,09:00~11:59,28
2016,약취·유인,12:00~14:59,26
2016,약취·유인,15:00~17:59,33
2016,약취·유인,18:00~20:59,31
2016,약취·유인,21:00~23:59,14
2016,폭력행위등,00:00~02:59,2136
2016,폭력행위등,03:00~05:59,2002
2016,폭력행위등,06:00~08:59,758
2016,폭력행위등,09:00~11:59,667
2016,폭력행위등,12:00~14:59,741
2016,폭력행위등,15:00~17:59,979
2016,폭력행위등,18:00~20:59,1427
2016,폭력행위등,21:00~23:59,2651
2016,공갈,00:00~02:59,161
2016,공갈,03:00~05:59,106
2016,공갈,06:00~08:59,88
2016,공갈,09:00~11:59,353
2016,공갈,12:00~14:59,326
2016,공갈,15:00~17:59,435
2016,공갈,18:00~20:59,449
2016,공갈,21:00~23:59,381
2016,손괴,00:00~02:59,5793
2016,손괴,03:00~05:59,4615
2016,손괴,06:00~08:59,3924
2016,손괴,09:00~11:59,5178
2016,손괴,12:00~14:59,4860
2016,손괴,15:00~17:59,6210
2016,손괴,18:00~20:59,9796
2016,손괴,21:00~23:59,11768
2017,상해,00:00~02:59,5278
2017,상해,03:00~05:59,4426
2017,상해,06:00~08:59,2709
2017,상해,09:00~11:59,3597
2017,상해,12:00~14:59,3516
2017,상해,15:00~17:59,4267
2017,상해,18:00~20:59,5708
2017,상해,21:00~23:59,9228
2017,폭행,00:00~02:59,21395
2017,폭행,03:00~05:59,17631
2017,폭행,06:00~08:59,9412
2017,폭행,09:00~11:59,11236
2017,폭행,12:00~14:59,11508
2017,폭행,15:00~17:59,13903
2017,폭행,18:00~20:59,20798
2017,폭행,21:00~23:59,37016
2017,체포·감금,00:00~02:59,106
2017,체포·감금,03:00~05:59,131
2017,체포·감금,06:00~08:59,121
2017,체포·감금,09:00~11:59,168
2017,체포·감금,12:00~14:59,145
2017,체포·감금,15:00~17:59,150
2017,체포·감금,18:00~20:59,202
2017,체포·감금,21:00~23:59,216
2017,협박,00:00~02:59,999
2017,협박,03:00~05:59,767
2017,협박,06:00~08:59,1099
2017,협박,09:00~11:59,1780
2017,협박,12:00~14:59,1731
2017,협박,15:00~17:59,1945
2017,협박,18:00~20:59,2386
2017,협박,21:00~23:59,2553
2017,약취·유인,00:00~02:59,11
2017,약취·유인,03:00~05:59,11
2017,약취·유인,06:00~08:59,12
2017,약취·유인,09:00~11:59,27
2017,약취·유인,12:00~14:59,30
2017,약취·유인,15:00~17:59,39
2017,약취·유인,18:00~20:59,30
