시점,분류,월요일,화요일,수요일,목요일,금요일,토요일,일요일,평일,주말,합계
2016,상해,6594,6886,6853,6770,7161,7944,7820,6852.8,7882,50028
2016,폭행,20470,21793,22403,22168,23728,28079,27162,22112.4,27620.5,165803
2016,체포·감금,208,191,209,179,188,168,175,195,171.5,1318
2016,협박,2197,2254,2268,2231,2242,2329,2349,2238.4,2339,15870
2016,약취·유인,30,31,36,17,29,30,28,28.6,29,201
2016,폭력행위등,1586,1685,1667,1654,1845,2420,2445,1687.4,2432.5,13302
2016,공갈,549,573,546,566,548,550,413,556.4,481.5,3745
2016,손괴,7787,7974,7949,7990,8839,9723,8865,8107.8,9294,59127
2017,상해,5882,6221,6219,5923,6357,6939,7070,6120.4,7004.5,44611
2017,폭행,19983,21358,21317,21073,22540,26853,26517,21254.2,26685,159641
2017,체포·감금,224,194,203,216,211,194,197,209.6,195.5,1439
2017,협박,2128,2133,2252,2248,2298,2277,2163,2211.8,2220,15499
2017,약취·유인,26,34,39,27,31,30,19,31.4,24.5,206
2017,폭력행위등,1402,1339,1447,1333,1522,2038,2174,1408.6,2106,11255
2017,공갈,622,555,648,668,633,508,518,625.2,513,4152
2017,손괴,7439,7507,7507,7674,8326,9311,8519,7690.6,8915,56283
2018,상해,5326,5649,5395,5396,5628,6267,6105,5478.8,6186,39766
2018,폭행,20195,21334,21160,21181,22423,26997,25977,21258.6,26487,159267
2018,체포·감금,168,189,180,192,165,151,162,178.8,156.5,1207
2018,협박,2462,2530,2474,2444,2408,2384,2498,2463.6,2441,17200
2018,약취·유인,34,27,26,30,26,15,29,28.6,22,187
2018,폭력행위등,1175,1205,1088,1163,1206,1662,1705,1167.4,1683.5,9204
2018,공갈,685,644,604,656,593,457,457,636.4,457,4096
2018,손괴,7452,7767,7681,7514,8591,9200,8479,7801,8839.5,56684
2019,상해,4908,5063,5038,5110,5270,5776,5693,5077.8,5734.5,36858
2019,폭행,19966,20766,20981,21080,22045,26494,25865,20967.6,26179.5,157197
2019,체포·감금,189,170,171,169,196,168,180,179,174,1243
2019,협박,3013,3039,3072,2961,3040,3011,2886,3025,2948.5,21022
2019,약취·유인,40,41,34,32,40,36,27,37.4,31.5,250
2019,폭력행위등,1126,1100,1086,1001,1063,1430,1544,1075.2,1487,8350
2019,공갈,818,740,757,744,756,549,483,763,516,4847
2019,손괴,7974,7634,7766,7989,8788,9378,8617,8030.2,8997.5,58146
2020,상해,4431,4635,4488,4533,4785,5106,4926,4574.4,5016,32904
2020,폭행,17420,18563,18976,18718,20075,23248,22361,18750.4,22804.5,139361
2020,체포·감금,165,162,174,187,179,176,166,173.4,171,1209
2020,협박,3060,3015,3065,2991,3101,3016,2966,3046.4,2991,21214
2020,약취·유인,31,31,40,35,32,18,23,33.8,20.5,210
2020,폭력행위등,975,931,1008,919,960,1288,1317,958.6,1302.5,7398
2020,공갈,915,885,820,781,759,583,538,832,560.5,5281
2020,손괴,7829,7884,7954,7901,8723,9311,8589,8058.2,8950,58191
