시점,분류,계,아파트 연립다세대,단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,시장노점,숙박업소 목욕탕,유흥접객업소,사무실,공장,공사장광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,PC방
2016,상해,50028,3966,3559,40,16759,24,102,188,16,452,299,523,5128,1608,419,277,33,131,24,233,42,496,480,17,412,102,211,35,9,10,9,825,54,77
2016,폭행,165803,12523,9647,120,58794,65,285,1052,35,1031,509,952,10941,2735,482,342,37,446,237,1182,96,1175,554,72,1019,185,187,50,23,26,7,2319,101,325
2016,체포·감금,1318,139,110,9,311,0,2,2,0,12,2,60,37,54,4,1,2,1,0,82,1,1,8,1,53,7,3,1,0,1,0,20,1,1
2016,협박,15870,1841,1878,262,4483,6,39,97,4,152,60,98,745,608,52,31,5,14,10,55,3,63,64,8,132,35,47,2,3,6,2,158,2,14
2016,약취·유인,201,26,16,0,80,0,0,0,1,2,1,11,11,0,0,0,0,1,0,4,0,3,5,0,3,1,0,0,0,0,0,1,1,0
2016,폭력행위등,13302,483,432,14,6045,4,16,46,4,100,85,138,1335,354,55,70,4,25,8,24,15,206,137,3,54,48,43,3,2,2,2,228,28,39
2016,공갈,3745,188,208,0,736,0,9,66,4,62,26,50,523,319,34,44,2,9,2,14,2,28,80,31,36,13,12,0,3,2,1,28,2,134
2016,손괴,59127,3108,2914,30,21985,14,69,208,7,574,262,586,2035,752,138,188,62,84,13,81,23,129,84,67,109,123,1103,75,1,0,28,5766,43,61
2017,상해,44611,3712,3000,46,14833,27,93,159,12,373,259,492,4779,1386,388,261,30,134,28,222,45,414,504,14,380,144,194,35,4,5,8,760,40,74
2017,폭행,159641,11825,8302,131,58348,98,286,1066,46,1026,539,1054,11904,2770,451,416,55,524,267,1357,101,1127,593,54,1062,211,169,78,37,27,2,2516,107,316
2017,체포·감금,1439,178,123,8,306,0,1,1,1,9,2,42,51,63,5,2,3,4,0,74,0,0,7,0,37,8,5,0,0,0,1,38,2,1
2017,협박,15499,1789,1676,112,4979,7,27,107,3,125,64,73,700,566,38,33,8,20,8,56,7,58,70,13,99,37,30,4,3,7,3,143,2,19
2017,약취·유인,206,23,11,0,76,0,0,0,1,1,0,8,6,1,0,0,0,4,1,1,0,3,14,0,1,1,1,0,0,0,0,2,0,0
2017,폭력행위등,11255,419,317,5,5280,4,6,48,3,82,98,101,1141,254,27,63,8,20,3,28,5,193,149,9,41,79,28,2,2,5,1,269,24,21
2017,공갈,4152,232,292,2,828,2,21,42,4,46,32,59,467,307,20,40,4,12,0,23,3,32,89,22,19,10,10,1,1,1,0,21,3,33
2017,손괴,56283,3002,2692,26,21300,9,62,191,10,477,273,620,2064,665,107,177,68,82,16,78,21,99,87,67,90,141,1122,67,1,1,13,5661,33,83
2018,상해,39766,4903,3856,42,13802,20,119,236,25,468,426,741,6685,1450,407,319,42,174,58,306,65,411,525,22,441,187,124,34,10,10,7,901,75,80
2018,폭행,159267,21747,14760,163,61152,143,638,1745,100,2059,1688,2305,22772,3784,742,685,81,1166,565,3381,166,1365,853,109,1656,488,224,75,46,21,15,3076,273,608
2018,체포·감금,1207,196,139,7,269,1,2,2,1,8,10,103,72,53,5,0,2,6,0,117,2,1,7,1,38,9,3,0,0,2,0,26,1,1
2018,협박,17200,3288,2704,93,5045,11,49,175,9,223,129,180,1266,742,59,36,9,45,15,114,14,68,96,20,159,53,39,9,6,7,3,195,6,31
2018,약취·유인,187,26,11,0,83,0,0,0,0,1,3,4,2,4,0,0,0,5,0,4,0,1,15,0,3,0,1,0,0,0,0,1,0,1
2018,폭력행위등,9204,475,313,2,4470,4,13,40,3,101,143,160,1440,246,31,54,6,26,6,30,12,184,162,5,49,95,39,7,6,1,3,238,29,35
2018,공갈,4096,248,328,3,745,3,9,43,3,67,42,68,241,313,15,23,0,17,4,24,2,30,73,40,22,8,11,1,2,4,0,36,3,66
2018,손괴,56684,5576,4282,25,23786,32,113,260,20,1038,856,1537,3854,826,151,228,79,162,32,190,34,158,128,100,156,246,1264,102,3,0,36,7093,145,174
2019,상해,36858,5082,3557,52,12696,21,108,191,30,431,418,704,6539,1331,336,253,33,162,54,345,47,366,527,22,402,116,138,25,10,9,7,817,77,94
2019,폭행,157197,25179,15290,182,58944,125,565,1679,114,1919,1695,2188,22138,3632,705,596,88,1156,562,3267,209,1471,875,105,1664,392,215,61,51,30,14,3276,287,506
2019,체포·감금,1243,234,149,6,259,1,0,4,1,8,8,111,67,69,4,0,2,5,1,128,2,5,8,1,35,6,2,0,0,0,0,16,7,2
2019,협박,21022,4431,3384,101,6367,16,75,196,6,246,152,207,1533,797,67,60,10,42,16,133,10,102,115,28,176,45,48,12,3,4,2,262,7,33
2019,약취·유인,250,41,26,0,102,0,1,0,0,2,0,11,8,3,0,0,0,3,0,3,0,5,16,1,3,1,0,1,0,0,0,2,2,0
2019,폭력행위등,8350,579,349,3,3923,1,10,32,1,97,121,198,1350,257,35,54,1,28,4,35,6,155,177,5,40,72,31,3,6,0,2,207,45,22
2019,공갈,4847,255,353,2,798,1,5,44,3,85,51,64,409,352,13,16,0,9,3,25,2,42,75,28,31,7,7,0,4,2,1,31,5,61
2019,손괴,58146,7079,4787,39,23646,27,131,302,28,995,914,1501,3981,815,188,272,89,163,37,213,40,153,169,118,171,195,1412,84,0,3,35,7369,150,178
2020,상해,32904,4657,3240,55,11451,20,108,184,13,416,386,586,5527,1212,308,231,38,147,31,250,38,326,220,22,351,73,158,23,2,11,9,747,60,78
2020,폭행,139361,23335,13417,184,51704,108,597,1542,102,1768,1301,1801,18864,3304,687,576,95,925,449,3123,147,1105,418,96,1461,176,243,84,51,24,8,3148,244,393
2020,체포·감금,1209,210,132,6,244,2,1,4,0,15,10,110,60,50,3,5,2,2,0,152,5,6,10,2,33,7,2,0,1,0,0,19,1,3
2020,협박,21214,4511,3192,106,6526,11,75,241,11,271,144,191,1467,729,61,48,7,44,15,112,15,101,77,11,141,45,64,11,6,5,0,254,4,39
