시점,분류,범죄발생장소,데이터
2016,상해,아파트 연립다세대,3966
2016,상해,단독주택,3559
2016,상해,고속도로,40
2016,상해,노상,16759
2016,상해,백화점,24
2016,상해,슈퍼마켓,102
2016,상해,편의점,188
2016,상해,대형할인매장,16
2016,상해,상점,452
2016,상해,시장노점,299
2016,상해,숙박업소 목욕탕,523
2016,상해,유흥접객업소,5128
2016,상해,사무실,1608
2016,상해,공장,419
2016,상해,공사장광산,277
2016,상해,창고,33
2016,상해,역대합실,131
2016,상해,지하철,24
2016,상해,기타교통수단내,233
2016,상해,흥행장,42
2016,상해,유원지,496
2016,상해,학교,480
2016,상해,금융기관,17
2016,상해,의료기관,412
2016,상해,종교기관,102
2016,상해,산야,211
2016,상해,해상,35
2016,상해,부대,9
2016,상해,구금장소,10
2016,상해,공지,9
2016,상해,주차장,825
2016,상해,공중화장실,54
2016,상해,PC방,77
2016,폭행,아파트 연립다세대,12523
2016,폭행,단독주택,9647
2016,폭행,고속도로,120
2016,폭행,노상,58794
2016,폭행,백화점,65
2016,폭행,슈퍼마켓,285
2016,폭행,편의점,1052
2016,폭행,대형할인매장,35
2016,폭행,상점,1031
2016,폭행,시장노점,509
2016,폭행,숙박업소 목욕탕,952
2016,폭행,유흥접객업소,10941
2016,폭행,사무실,2735
2016,폭행,공장,482
2016,폭행,공사장광산,342
2016,폭행,창고,37
2016,폭행,역대합실,446
2016,폭행,지하철,237
2016,폭행,기타교통수단내,1182
2016,폭행,흥행장,96
2016,폭행,유원지,1175
2016,폭행,학교,554
2016,폭행,금융기관,72
2016,폭행,의료기관,1019
2016,폭행,종교기관,185
2016,폭행,산야,187
2016,폭행,해상,50
2016,폭행,부대,23
2016,폭행,구금장소,26
2016,폭행,공지,7
2016,폭행,주차장,2319
2016,폭행,공중화장실,101
2016,폭행,PC방,325
2016,체포·감금,아파트 연립다세대,139
2016,체포·감금,단독주택,110
2016,체포·감금,고속도로,9
2016,체포·감금,노상,311
2016,체포·감금,슈퍼마켓,2
2016,체포·감금,편의점,2
2016,체포·감금,상점,12
2016,체포·감금,시장노점,2
