시점,분류,생활비,유흥비,도박비,허영사치심,치부,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의
2016,상해,16.0,13.0,3.0,1.0,3.0,23.0,52.0,3951,30,9,36355,903.0,886
2016,폭행,103.0,12.0,2.0,2.0,6.0,38.0,116.0,15349,120,25,60254,1551.0,1716
2016,체포·감금,18.0,12.0,2.0,1.0,1.0,5.0,5.0,91,2,5,401,37.0,19
2016,협박,10.0,4.0,0.0,1.0,5.0,7.0,90.0,1754,35,10,5558,285.0,442
2016,약취·유인,7.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2,14,41,0.0,3
2016,폭력행위등,195.0,172.0,12.0,3.0,2.0,76.0,112.0,401,204,20,19123,511.0,476
2016,공갈,204.0,132.0,16.0,6.0,2.0,66.0,0.0,6,22,20,480,38.0,40
2016,손괴,16.0,2.0,1.0,0.0,2.0,16.0,15.0,2082,127,11,15199,830.0,1096
2017,상해,10.0,8.0,2.0,0.0,10.0,24.0,55.0,3479,37,16,32751,723.0,707
2017,폭행,31.0,12.0,0.0,5.0,11.0,34.0,83.0,12989,88,27,60564,1479.0,1514
2017,체포·감금,8.0,0.0,0.0,0.0,3.0,17.0,2.0,127,2,4,467,23.0,22
2017,협박,7.0,3.0,5.0,0.0,5.0,4.0,90.0,1600,22,14,5508,279.0,507
2017,약취·유인,9.0,4.0,0.0,0.0,0.0,1.0,0.0,21,3,9,46,0.0,7
2017,폭력행위등,193.0,112.0,23.0,16.0,7.0,113.0,12.0,235,198,50,17367,332.0,443
2017,공갈,258.0,160.0,16.0,7.0,6.0,43.0,2.0,19,39,24,478,30.0,57
2017,손괴,17.0,4.0,1.0,2.0,1.0,12.0,11.0,1867,118,8,15278,819.0,1086
2018,상해,11.0,4.0,2.0,3.0,6.0,24.0,32.0,3041,16,7,32169,504.0,514
2018,폭행,29.0,6.0,0.0,1.0,5.0,36.0,75.0,11642,58,18,66700,1056.0,1124
2018,체포·감금,13.0,12.0,0.0,0.0,1.0,3.0,4.0,71,1,3,446,17.0,22
2018,협박,9.0,4.0,1.0,0.0,1.0,4.0,89.0,1690,21,15,6832,212.0,385
2018,약취·유인,6.0,4.0,1.0,0.0,0.0,2.0,0.0,12,3,6,44,0.0,1
2018,폭력행위등,187.0,97.0,2.0,0.0,8.0,74.0,4.0,186,95,67,15349,332.0,341
2018,공갈,186.0,75.0,6.0,8.0,1.0,57.0,2.0,5,7,22,387,20.0,33
2018,손괴,11.0,2.0,2.0,1.0,2.0,28.0,16.0,1731,57,10,17528,623.0,929
2019,상해,33.0,2.0,1.0,0.0,6.0,14.0,31.0,2871,25,7,30468,484.0,452
2019,폭행,18.0,10.0,1.0,3.0,12.0,43.0,76.0,12927,41,11,69549,1037.0,1040
2019,체포·감금,8.0,0.0,0.0,0.0,1.0,4.0,2.0,78,1,2,470,16.0,7
2019,협박,17.0,4.0,1.0,1.0,3.0,6.0,95.0,2154,29,7,8506,254.0,487
2019,약취·유인,6.0,0.0,0.0,0.0,0.0,2.0,0.0,21,4,9,45,4.0,4
2019,폭력행위등,143.0,118.0,9.0,2.0,24.0,81.0,1.0,167,84,28,14136,205.0,303
2019,공갈,227.0,84.0,13.0,1.0,4.0,93.0,1.0,7,19,20,390,14.0,28
2019,손괴,16.0,5.0,1.0,0.0,0.0,29.0,17.0,2358,64,11,19299,592.0,942
2020,상해,21.0,2.0,3.0,0.0,6.0,16.0,43.0,2375,15,4,27064,398.0,402
2020,폭행,29.0,12.0,1.0,1.0,8.0,49.0,55.0,11057,60,11,62885,868.0,945
2020,체포·감금,5.0,4.0,2.0,0.0,0.0,9.0,3.0,62,3,3,446,17.0,26
2020,협박,18.0,4.0,1.0,0.0,2.0,14.0,71.0,1943,30,13,8737,217.0,402
2020,약취·유인,0.0,0.0,0.0,0.0,0.0,11.0,0.0,12,7,6,43,2.0,4
2020,폭력행위등,135.0,102.0,0.0,2.0,20.0,105.0,20.0,123,164,21,12337,198.0,221
2020,공갈,210.0,86.0,10.0,4.0,1.0,68.0,2.0,6,23,13,483,20.0,35
2020,손괴,33.0,0.0,0.0,0.0,4.0,43.0,27.0,2185,132,8,18945,573.0,941
