시점,성별,분류,미성년자,20대,30대,40대,50대,60세 초과,성인
2016,남자,상해,4349,8598,10624,13868,12595,5515,51200
2016,남자,폭행,11970,28301,36337,46310,40676,17024,168648
2016,남자,체포·감금,132,292,331,316,224,105,1268
2016,남자,협박,557,1785,2942,4482,3845,1488,14542
2016,남자,약취·유인,20,56,42,45,32,17,192
2016,남자,폭력행위등,8241,8426,6115,5128,3683,1326,24678
2016,남자,공갈,898,407,524,610,551,179,2271
2016,남자,손괴,1643,4274,6054,8185,6802,3158,28473
2016,여자,상해,759,1356,1726,2404,2507,1382,9375
2016,여자,폭행,3180,6945,7230,8287,7195,3216,32873
2016,여자,체포·감금,43,28,39,67,69,29,232
2016,여자,협박,96,192,379,500,378,143,1592
2016,여자,약취·유인,10,19,28,16,8,12,83
2016,여자,폭력행위등,2289,1894,1045,1081,1122,552,5694
2016,여자,공갈,84,63,68,100,87,52,370
2016,여자,손괴,189,568,817,1289,1263,727,4664
2017,남자,상해,4252,8018,9243,11975,10811,5262,45309
2017,남자,폭행,12379,29271,34006,42375,39101,17732,162485
2017,남자,체포·감금,149,342,325,388,259,110,1424
2017,남자,협박,617,1705,2833,4258,3694,1672,14162
2017,남자,약취·유인,36,34,44,35,29,23,165
2017,남자,폭력행위등,8008,7708,5128,4124,2943,1077,20980
2017,남자,공갈,1088,380,483,510,432,200,2005
2017,남자,손괴,1561,4567,5804,7667,6860,3625,28523
2017,여자,상해,740,1337,1552,2171,2199,1275,8534
2017,여자,폭행,3437,7449,6771,7706,6886,3500,32312
2017,여자,체포·감금,53,43,53,71,85,23,275
2017,여자,협박,134,218,399,476,411,163,1667
2017,여자,약취·유인,6,11,25,13,13,14,76
2017,여자,폭력행위등,2582,1684,954,967,937,469,5011
2017,여자,공갈,81,89,86,89,87,44,395
2017,여자,손괴,202,606,824,1161,1264,707,4562
2018,남자,상해,3761,6758,7988,10213,10278,5367,40604
2018,남자,폭행,11560,27238,31629,40437,38588,19338,157230
2018,남자,체포·감금,171,273,265,274,233,102,1147
2018,남자,협박,684,1802,2980,4184,4382,2046,15394
2018,남자,약취·유인,19,33,43,20,33,26,155
2018,남자,폭력행위등,7307,6452,4248,3498,2533,1091,17822
2018,남자,공갈,1176,339,403,463,422,188,1815
2018,남자,손괴,1567,4548,5736,7422,7314,4047,29067
2018,여자,상해,703,1250,1404,1759,1987,1364,7764
2018,여자,폭행,3399,7059,7019,7514,6891,3892,32375
2018,여자,체포·감금,43,33,42,54,75,32,236
2018,여자,협박,180,323,409,602,470,211,2015
2018,여자,약취·유인,6,10,28,21,13,8,80
2018,여자,폭력행위등,2396,1368,790,792,882,464,4296
2018,여자,공갈,101,54,89,112,121,43,419
2018,여자,손괴,197,656,868,1185,1253,859,4821
2019,남자,상해,3297,6293,7274,9335,9087,5351,37340
2019,남자,폭행,10875,26478,29928,38360,37892,21238,153896
2019,남자,체포·감금,213,276,259,247,237,115,1134
2019,남자,협박,796,2192,3328,5061,5346,2797,18724
2019,남자,약취·유인,18,39,67,49,29,30,214
2019,남자,폭력행위등,6818,5563,3394,2933,2378,1085,15353
2019,남자,공갈,1156,402,379,445,442,189,1857
2019,남자,손괴,1748,4687,5831,7753,7913,4739,30923
2019,여자,상해,644,1268,1382,1704,1806,1389,7549
2019,여자,폭행,3351,7629,7416,7908,7068,4320,34341
2019,여자,체포·감금,38,36,25,65,89,45,260
2019,여자,협박,231,366,589,687,633,307,2582
2019,여자,약취·유인,13,21,30,16,14,12,93
2019,여자,폭력행위등,2257,1214,752,785,782,556,4089
2019,여자,공갈,107,77,84,112,95,52,420
2019,여자,손괴,239,718,950,1265,1423,1117,5473
2020,남자,상해,2574,5596,6084,8076,8510,5285,33551
2020,남자,폭행,8992,23298,25040,32896,34284,20805,136323
2020,남자,체포·감금,215,312,273,249,242,123,1199
2020,남자,협박,856,2229,3295,4873,5436,2932,18765
2020,남자,약취·유인,26,60,36,30,30,25,181
2020,남자,폭력행위등,5688,5159,3101,2705,2192,1100,14257
2020,남자,공갈,1020,462,416,365,372,200,1815
2020,남자,손괴,1704,4869,5558,7434,7892,5408,31161
2020,여자,소계,5410,9981,9953,11104,11083,7692,49813
2020,여자,상해,525,1093,1266,1548,1663,1294,6864
2020,여자,폭행,2733,6560,6324,6747,6364,4246,30241
2020,여자,체포·감금,22,34,46,59,79,38,256
2020,여자,협박,180,392,619,681,617,340,2649
2020,여자,약취·유인,11,16,23,11,12,16,78
2020,여자,폭력행위등,1592,1006,612,720,859,497,3694
2020,여자,공갈,114,79,127,118,83,49,456
2020,여자,손괴,233,801,936,1220,1406,1212,5575
