시점,성별,전과,미성년,성년
2016,남,없음,33402,266807
2016,남,1범,7193,151909
2016,남,2범,3882,112916
2016,남,3범,2661,86183
2016,남,4범,1856,66487
2016,남,5범,1394,54005
2016,남,6범,1095,42818
2016,남,7범,924,33554
2016,남,8범,678,27185
2016,남,9범이상,3771,177229
2016,여,없음,7736,121095
2016,여,1범,1242,37743
2016,여,2범,604,19726
2016,여,3범,315,11305
2016,여,4범,177,7092
2016,여,5범,154,4756
2016,여,6범,69,3184
2016,여,7범,51,2275
2016,여,8범,31,1560
2016,여,9범이상,134,7047
2017,남,없음,31983,236978
2017,남,1범,6675,135431
2017,남,2범,3562,101474
2017,남,3범,2434,77320
2017,남,4범,1590,59737
2017,남,5범,1316,47515
2017,남,6범,1042,38193
2017,남,7범,744,29590
2017,남,8범,589,24316
2017,남,9범이상,3142,161620
2017,여,없음,8154,113806
2017,여,1범,1355,34829
2017,여,2범,625,18349
2017,여,3범,334,10554
2017,여,4범,206,6503
2017,여,5범,107,4463
2017,여,6범,93,3032
2017,여,7범,37,2078
2017,여,8범,39,1476
2017,여,9범이상,110,6929
2018,남,없음,28864,209110
2018,남,1범,5951,118447
2018,남,2범,3148,88328
2018,남,3범,2253,67809
2018,남,4범,1619,52266
2018,남,5범,1224,42044
2018,남,6범,915,33546
2018,남,7범,757,27494
2018,남,8범,563,21393
2018,남,9범이상,3113,152892
2018,여,없음,8143,109301
2018,여,1범,1206,32528
2018,여,2범,557,16712
2018,여,3범,300,9885
2018,여,4범,182,6330
2018,여,5범,132,4330
2018,여,6범,89,2771
2018,여,7범,67,2036
2018,여,8범,45,1422
2018,여,9범이상,173,7187
2019,남,없음,30407,205037
2019,남,1범,5502,113682
2019,남,2범,2867,84796
2019,남,3범,2193,65607
2019,남,4범,1402,50513
2019,남,5범,1098,41382
2019,남,6범,908,32428
2019,남,7범,669,26694
2019,남,8범,572,20986
2019,남,9범이상,3650,153547
2019,여,없음,7832,116106
2019,여,1범,1168,33397
2019,여,2범,480,17157
2019,여,3범,316,10056
2019,여,4범,195,6296
2019,여,5범,128,4424
2019,여,6범,79,2907
2019,여,7범,54,2101
2019,여,8범,31,1477
2019,여,9범이상,104,7676
2020,남,없음,29905,188827
2020,남,1범,5569,104494
2020,남,2범,2931,77618
2020,남,3범,2090,61678
2020,남,4범,1425,46986
2020,남,5범,1188,38305
2020,남,6범,842,30376
2020,남,7범,674,25221
2020,남,8범,553,19895
2020,남,9범이상,3667,150108
2020,여,없음,7124,104861
2020,여,1범,1045,30544
2020,여,2범,431,15725
2020,여,3범,267,9386
2020,여,4범,149,5981
2020,여,5범,118,4119
2020,여,6범,68,2852
2020,여,7범,59,2135
2020,여,8범,42,1464
2020,여,9범이상,131,7699
