시점,분류,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과
2016,상해,13314,397,703,811,2774,1871,1772,4986
2016,폭행,21616,684,1364,1551,4524,3033,2818,7642
2016,체포·감금,99,5,6,10,27,16,11,24
2016,협박,1148,64,107,100,301,157,141,278
2016,약취·유인,19,1,3,-,5,1,3,6
2016,폭력행위등,6380,244,482,497,1567,891,809,1890
2016,공갈,447,40,72,49,148,36,44,58
2016,손괴,2957,164,246,250,728,431,379,759
2017,상해,12120,327,708,785,2542,1651,1578,4529
2017,폭행,21612,671,1413,1538,4755,3017,2723,7495
2017,체포·감금,125,7,14,7,36,19,17,25
2017,협박,1141,78,88,93,294,157,134,297
2017,약취·유인,17,-,-,1,3,3,5,5
2017,폭력행위등,5585,236,462,527,1325,752,722,1561
2017,공갈,462,61,70,46,145,45,48,47
2017,손괴,3011,162,255,251,749,445,416,733
2018,상해,10905,301,563,708,2148,1543,1433,4209
2018,폭행,22166,737,1418,1640,4706,3186,2899,7580
2018,체포·감금,127,11,19,17,30,17,11,22
2018,협박,1295,56,102,127,341,217,126,326
2018,약취·유인,15,1,1,1,4,-,2,6
2018,폭력행위등,4886,236,423,448,1236,705,674,1164
2018,공갈,440,45,70,62,145,48,32,38
2018,손괴,3234,170,301,289,803,512,375,784
2019,상해,9604,248,506,587,1910,1346,1310,3697
2019,폭행,22422,707,1451,1602,4987,3203,2956,7516
2019,체포·감금,111,6,20,10,27,12,22,14
2019,협박,1733,76,150,147,441,237,246,436
2019,약취·유인,23,2,1,5,6,2,3,4
2019,폭력행위등,4168,220,357,366,1112,607,507,999
2019,공갈,399,55,51,59,130,32,38,34
2019,손괴,3351,179,259,248,853,543,458,811
2020,상해,8556,243,446,562,1769,1199,1026,3311
2020,폭행,19943,683,1273,1425,4456,2726,2510,6870
2020,체포·감금,115,5,15,13,35,15,17,15
2020,협박,1729,92,154,151,470,245,215,402
2020,약취·유인,16,2,-,3,6,1,-,4
2020,폭력행위등,3780,198,344,382,1031,541,466,818
2020,공갈,414,70,67,56,101,47,45,28
2020,손괴,3306,194,288,307,853,466,420,778
