시점,성별,분류,계,미성년자,20대,30대,40대,50대,60세초과
2016,남자,상해,27107,674,6850,4447,5633,6054,3440
2016,남자,폭행,85042,1958,25875,13279,16321,18466,9116
2016,남자,체포·감금,354,17,88,41,65,73,70
2016,남자,협박,7622,98,1527,1648,1734,1629,985
2016,남자,약취·유인,60,39,3,5,5,3,5
2016,남자,폭력행위등,8620,583,3572,1472,1324,1196,458
2016,남자,공갈,2663,425,843,368,436,355,235
2016,남자,손괴,39157,100,5920,8593,9337,9370,5822
2016,여자,상해,16265,185,3278,2896,3961,3739,2203
2016,여자,폭행,54156,894,13817,11421,12954,10274,4790
2016,여자,체포·감금,957,24,346,190,251,98,48
2016,여자,협박,7402,121,1462,1403,2097,1582,735
2016,여자,약취·유인,138,70,53,10,2,3,-
2016,여자,폭력행위등,2697,284,916,340,518,455,183
2016,여자,공갈,945,35,170,110,272,265,93
2016,여자,손괴,18760,14,2067,3592,5478,5252,2353
2017,남자,상해,24550,608,6592,3842,4867,5213,3420
2017,남자,폭행,85507,2067,27617,13486,15491,17188,9636
2017,남자,체포·감금,361,16,111,48,59,75,50
2017,남자,협박,7659,120,1660,1875,1590,1483,929
2017,남자,약취·유인,72,58,6,1,3,3,1
2017,남자,폭력행위등,7359,503,3304,1238,1012,900,391
2017,남자,공갈,3260,511,1155,480,542,406,163
2017,남자,손괴,37385,103,5936,8154,8865,8580,5734
2017,여자,상해,14492,191,3049,2564,3357,3282,2045
2017,여자,폭행,50567,862,13695,10182,11579,9517,4722
2017,여자,체포·감금,1072,25,377,218,252,137,63
2017,여자,협박,7061,145,1503,1407,1781,1526,698
2017,여자,약취·유인,132,85,33,5,8,-,1
2017,여자,폭력행위등,2497,329,921,297,351,397,199
2017,여자,공갈,781,52,174,128,159,193,73
2017,여자,손괴,17851,23,2071,3372,5041,4990,2352
2018,남자,상해,22140,583,5594,3490,4298,4824,3338
2018,남자,폭행,85468,1992,27624,13322,15078,17074,10315
2018,남자,체포·감금,335,23,106,46,50,58,51
2018,남자,협박,8167,128,1703,1869,1743,1658,1052
2018,남자,약취·유인,56,43,3,3,3,4,-
2018,남자,폭력행위등,5987,453,2682,882,804,819,335
2018,남자,공갈,3304,545,1253,456,500,355,186
2018,남자,손괴,37513,88,6036,7752,8459,8644,6495
2018,여자,상해,13222,160,2757,2327,2979,2949,2047
2018,여자,폭행,52297,958,14126,10452,11512,9701,5522
2018,여자,체포·감금,863,19,332,180,181,104,46
2018,여자,협박,8231,201,1723,1544,2047,1780,931
2018,여자,약취·유인,125,82,34,4,3,-,2
2018,여자,폭력행위등,1820,323,645,198,250,242,159
2018,여자,공갈,660,40,160,84,147,137,90
2018,여자,손괴,17811,15,2116,3305,4793,4949,2622
2019,남자,상해,19837,559,5035,3003,3820,4258,3151
2019,남자,폭행,81047,2191,25924,12500,13919,16021,10437
2019,남자,체포·감금,349,24,116,36,57,54,61
2019,남자,협박,9747,178,2119,2214,2050,1859,1318
2019,남자,약취·유인,71,62,5,1,-,-,3
2019,남자,폭력행위등,5283,445,2294,779,730,653,365
2019,남자,공갈,3837,490,1315,589,660,493,279
2019,남자,손괴,37508,84,6137,7593,8242,8514,6907
2019,여자,상해,12289,164,2466,2219,2592,2784,2059
2019,여자,폭행,53043,1003,13676,11020,11426,9822,6085
2019,여자,체포·감금,883,19,320,170,189,127,56
2019,여자,협박,10153,216,2089,1963,2397,2137,1345
2019,여자,약취·유인,170,105,48,6,4,5,2
2019,여자,폭력행위등,1803,257,642,203,249,273,179
2019,여자,공갈,766,68,197,92,143,153,112
2019,여자,손괴,19147,31,2380,3507,4933,5225,3065
2020,남자,상해,17570,361,4384,2680,3282,3883,2970
2020,남자,폭행,72916,1681,23032,11655,12363,14151,9982
2020,남자,체포·감금,441,28,157,51,61,67,75
2020,남자,협박,10452,188,2394,2402,2176,1929,1333
2020,남자,약취·유인,63,48,6,5,3,-,1
2020,남자,폭력행위등,4832,384,2044,677,707,611,393
2020,남자,공갈,4361,455,1528,732,771,615,252
2020,남자,손괴,37416,88,6255,7514,8017,8295,7211
2020,여자,상해,10762,115,2170,1822,2206,2490,1954
2020,여자,폭행,46089,802,12062,9094,9653,8705,5759
2020,여자,체포·감금,750,16,282,146,156,107,43
2020,여자,협박,9697,195,2180,1801,2142,2042,1325
2020,여자,약취·유인,142,94,35,6,3,2,2
2020,여자,폭력행위등,1464,204,503,178,206,195,174
2020,여자,공갈,744,61,206,139,116,128,91
2020,여자,손괴,19359,38,2366,3350,4737,5430,3434
