시점,분류,계,취침중,일하는중,부재중,담화중,혼잡중,보행중,딴데정신잃어서,속아서
2016,상해,50028,328.0,4444,97.0,19859,1533.0,1306,126,21
2016,폭행,165803,801.0,17534,32.0,59882,4916.0,5023,401,38
2016,체포·감금,1318,18.0,57,1.0,400,23.0,29,3,38
2016,협박,15870,150.0,1643,163.0,4451,236.0,213,23,26
2016,약취·유인,201,0.0,6,6.0,22,0.0,29,5,29
2016,폭력행위등,13302,64.0,816,252.0,3699,714.0,686,32,53
2016,공갈,3745,7.0,642,20.0,657,30.0,84,5,252
2016,손괴,59127,1663.0,5275,24843.0,3719,557.0,178,190,31
2017,상해,44611,271.0,3919,55.0,18102,1532.0,1211,128,14
2017,폭행,159641,704.0,17675,239.0,58039,5627.0,4985,370,33
2017,체포·감금,1439,23.0,54,1.0,494,25.0,19,11,25
2017,협박,15499,146.0,1628,145.0,4353,276.0,194,15,28
2017,약취·유인,206,1.0,6,5.0,21,5.0,32,6,17
2017,폭력행위등,11255,62.0,682,264.0,3434,708.0,570,23,56
2017,공갈,4152,8.0,586,27.0,744,30.0,42,11,563
2017,손괴,56283,1678.0,5406,24197.0,3616,598.0,212,226,24
2018,상해,39766,262.0,3510,63.0,16708,1395.0,951,148,14
2018,폭행,159267,738.0,18346,249.0,61420,5593.0,4630,391,36
2018,체포·감금,1207,12.0,44,1.0,425,26.0,20,3,19
2018,협박,17200,143.0,1760,175.0,5271,316.0,193,21,40
2018,약취·유인,187,3.0,2,4.0,26,3.0,29,4,19
2018,폭력행위등,9204,43.0,543,222.0,2838,631.0,392,25,65
2018,공갈,4096,2.0,275,26.0,729,31.0,41,17,661
2018,손괴,56684,1509.0,5565,24982.0,3734,593.0,212,192,44
2019,상해,36858,216.0,2973,58.0,15330,1427.0,818,127,20
2019,폭행,157197,683.0,16332,234.0,59721,5905.0,4303,441,48
2019,체포·감금,1243,12.0,54,0.0,424,26.0,21,8,18
2019,협박,21022,169.0,1926,196.0,6456,430.0,264,38,37
2019,약취·유인,250,2.0,1,8.0,30,2.0,28,4,15
2019,폭력행위등,8350,46.0,447,248.0,2562,518.0,299,26,57
2019,공갈,4847,5.0,323,20.0,797,32.0,34,11,957
2019,손괴,58146,1393.0,5307,24808.0,4439,656.0,209,207,40
2020,상해,32904,172.0,2610,47.0,12999,1182.0,666,91,11
2020,폭행,139361,523.0,14263,254.0,49879,5103.0,3545,311,39
2020,체포·감금,1209,7.0,50,1.0,355,38.0,16,3,26
2020,협박,21214,156.0,1866,200.0,6040,415.0,234,29,48
2020,약취·유인,210,4.0,2,3.0,25,4.0,27,2,18
2020,폭력행위등,7398,43.0,348,247.0,2093,486.0,231,22,39
2020,공갈,5281,6.0,296,24.0,751,23.0,30,8,1186
2020,손괴,58191,1279.0,4880,24486.0,4118,696.0,182,189,29
