,채널명,조회수
2021.01,,
2021.02,Boone Bake분 베이크,"15,041,208"
2021.03,Boone Bake분 베이크,"8,947,082"
2021.04,Cooking tree 쿠킹트리,"7,265,231"
2021.05,Cooking tree 쿠킹트리,"7,429,295"
2021.06,Cooking tree 쿠킹트리,"7,431,352"
2021.07,서담 seodam,"14,076,915"
2021.08,조꽁드Joconde's baking,"7,929,312"
2021.09,조꽁드Joconde's baking,"9,558,681"
2021.10,Cooking tree 쿠킹트리,"5,788,011"
2021.11,조꽁드Joconde's baking,"7,808,909"
2021.12,식탁일기 table diary,"17,021,504"
2022.01,Cooking tree 쿠킹트리,"7,345,101"
2022.02,Cooking tree 쿠킹트리,"6,456,686"
2022.03,식탁일기 table diary,"13,557,217"
2022.04,Cooking tree 쿠킹트리,"6,073,938"
2022.05,Boone Bake분 베이크,"7,646,159"
2022.06,식탁일기 table diary,"9,831,359"
