,채널명,조회수
2021.01,,
2021.02,ARTBEAT,"24,210,863"
2021.03,ARTBEAT,"38,737,068"
2021.04,ARTBEAT,"28,266,792"
2021.05,ARTBEAT,"21,990,765"
2021.06,ARTBEAT,"31,052,547"
2021.07,ARTBEAT,"22,289,944"
2021.08,ARTBEAT,"17,725,504"
2021.09,ARTBEAT,"22,210,977"
2021.10,땡깡DanceKang,"16,357,035"
2021.11,ARTBEAT,"20,829,236"
2021.12,ARTBEAT,"24,323,076"
2022.01,ARTBEAT,"15,721,262"
2022.02,ARTBEAT,"17,245,946"
2022.03,땡깡DanceKang,"20,862,858"
2022.04,ARTBEAT,"34,887,400"
2022.05,ARTBEAT,"49,098,245"
2022.06,ARTBEAT,"23,323,500"
