,채널명,조회수
2021.01,,
2021.02,JFlaMusic,"34,893,855"
2021.03,JFlaMusic,"34,705,814"
2021.04,JFlaMusic,"32,220,160"
2021.05,JFlaMusic,"28,724,446"
2021.06,JFlaMusic,"26,027,866"
2021.07,JFlaMusic,"24,910,103"
2021.08,JFlaMusic,"23,430,148"
2021.09,JFlaMusic,"20,904,344"
2021.10,JFlaMusic,"21,995,315"
2021.11,JFlaMusic,"21,118,724"
2021.12,JFlaMusic,"24,259,732"
2022.01,JFlaMusic,"19,703,827"
2022.02,JFlaMusic,"19,089,392"
2022.03,JFlaMusic,"20,714,665"
2022.04,JFlaMusic,"17,098,847"
2022.05,SY TALENT ENTERTAINMENT,"64,028,303"
2022.06,JFlaMusic,"17,315,596"
