,채널명,조회수
2021.01,,
2021.02,핏더사이즈,"5,721,950"
2021.03,TRB 트렌드 리뷰 브랜드,"7,818,107"
2021.04,깡스타일리스트,"7,776,840"
2021.05,깡스타일리스트,"9,429,140"
2021.06,깡스타일리스트,"10,740,595"
2021.07,깡스타일리스트,"9,278,704"
2021.08,신의손이선생 - DIY edigna,"8,913,745"
2021.09,신의손이선생 - DIY edigna,"63,207,360"
2021.10,신의손이선생 - DIY edigna,"20,135,703"
2021.11,신의손이선생 - DIY edigna,"50,612,852"
2021.12,tvN D STUDIO,"18,401,238"
2022.01,신의손이선생 - DIY edigna,"50,665,274"
2022.02,신의손이선생 - DIY edigna,"38,152,820"
2022.03,신의손이선생 - DIY edigna,"15,553,786"
2022.04,신의손이선생 - DIY edigna,"22,487,997"
2022.05,신의손이선생 - DIY edigna,"19,603,882"
2022.06,신의손이선생 - DIY edigna,"14,986,356"
