,채널명,조회수
2021.01,뀨tv kkyutv,"4,512,840"
2021.02,소신사장 SoshinTV,"2,762,653"
2021.03,뀨tv kkyutv,"4,416,891"
2021.04,발리비키 - BALIBIKI,"4,730,441"
2021.05,뀨tv kkyutv,"4,509,696"
2021.06,뀨tv kkyutv,"6,223,720"
2021.07,디테일 LookBook,"6,473,099"
2021.08,깡스타일리스트,"8,565,096"
2021.09,깡스타일리스트,"9,822,681"
2021.10,깡스타일리스트,"10,366,428"
2021.11,깡스타일리스트,"10,035,835"
2021.12,free지아,"20,275,264"
2022.01,free지아,"65,518,267"
2022.02,깡스타일리스트,"9,298,536"
2022.03,깡스타일리스트,"10,829,212"
2022.04,깡스타일리스트,"12,354,243"
2022.05,깡스타일리스트,"11,893,816"
2022.06,깡스타일리스트,"14,780,249"
