,채널명,조회수
2021.01,자몽's beauty,"12,678,601"
2021.02,스마일밤 Smile Bam,"17,423,561"
2021.03,스마일밤 Smile Bam,"28,404,368"
2021.04,스마일밤 Smile Bam,"23,326,124"
2021.05,스마일밤 Smile Bam,"16,726,843"
2021.06,진절미 Jinjeolme,"13,466,392"
2021.07,스마일밤 Smile Bam,"23,539,384"
2021.08,스마일밤 Smile Bam,"16,233,648"
2021.09,스마일밤 Smile Bam,"28,930,810"
2021.10,스마일밤 Smile Bam,"25,785,970"
2021.11,스마일밤 Smile Bam,"44,797,262"
2021.12,스마일밤 Smile Bam,"32,793,774"
2022.01,free지아,"65,518,267"
2022.02,스마일밤 Smile Bam,"59,000,614"
2022.03,스마일밤 Smile Bam,"86,109,619"
2022.04,스마일밤 Smile Bam,"60,448,090"
2022.05,스마일밤 Smile Bam,"45,709,701"
2022.06,스마일밤 Smile Bam,"73,444,881"
