사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
Jun-22,1호선,150,서울역,1150754,1123193,194717,187155
Jun-22,1호선,151,시청,537067,543569,80671,78279
Jun-22,1호선,152,종각,834173,815704,131987,121717
Jun-22,1호선,153,종로3가,450317,404106,299617,278151
Jun-22,1호선,154,종로5가,394420,404105,254236,244555
Jun-22,1호선,155,동대문,212719,198987,117499,118515
Jun-22,1호선,156,신설동,264825,252339,112362,106855
Jun-22,1호선,157,제기동,218782,209109,263173,281985
Jun-22,1호선,158,청량리(서울시립대입구),328288,325365,246164,249818
Jun-22,1호선,159,동묘앞,122460,131299,146455,147539
Jun-22,2호선,201,시청,545554,526572,51342,46078
Jun-22,2호선,202,을지로입구,971745,1007534,92660,87142
Jun-22,2호선,203,을지로3가,536508,541688,72308,71915
Jun-22,2호선,204,을지로4가,265268,268802,76535,74937
Jun-22,2호선,205,동대문역사문화공원(DDP),306073,352795,53494,59289
Jun-22,2호선,206,신당,304039,315924,91391,92351
Jun-22,2호선,207,상왕십리,330852,315918,63503,64289
Jun-22,2호선,208,왕십리(성동구청),414937,347476,50943,43164
Jun-22,2호선,209,한양대,269240,295829,12481,13227
Jun-22,2호선,210,뚝섬,551569,592153,57844,58509
Jun-22,2호선,211,성수,872922,970271,98360,100417
Jun-22,2호선,212,건대입구,942052,1023160,87332,91534
Jun-22,2호선,213,구의(광진구청),546203,530279,98118,99292
Jun-22,2호선,214,강변(동서울터미널),816158,778010,118974,115032
Jun-22,2호선,215,잠실나루,309228,300158,81339,81143
Jun-22,2호선,216,잠실(송파구청),1862829,1830324,193944,183893
Jun-22,2호선,217,잠실새내,507827,512488,101903,101681
Jun-22,2호선,218,종합운동장,342239,380148,51889,53791
Jun-22,2호선,219,삼성(무역센터),1336734,1358393,112903,105588
Jun-22,2호선,220,선릉,1245231,1103735,201887,177819
Jun-22,2호선,221,역삼,1160459,1322033,147014,150062
Jun-22,2호선,222,강남,2055521,2039847,154473,136085
Jun-22,2호선,223,교대(법원.검찰청),740847,840069,149570,170124
Jun-22,2호선,224,서초,505375,477695,80348,80634
Jun-22,2호선,225,방배,398332,416958,72021,71264
Jun-22,2호선,226,사당,914750,1035094,201919,195837
Jun-22,2호선,227,낙성대(강감찬),671953,639987,104158,105505
Jun-22,2호선,228,서울대입구(관악구청),1135276,1113916,173256,165685
Jun-22,2호선,229,봉천,524535,472265,142143,141467
Jun-22,2호선,230,신림,1465285,1400575,205673,205118
Jun-22,2호선,231,신대방,607134,580534,119656,121011
Jun-22,2호선,232,구로디지털단지,1410353,1402401,163090,164424
Jun-22,2호선,233,대림(구로구청),564097,574663,118611,122173
Jun-22,2호선,234,신도림,1172265,1189184,195346,185455
Jun-22,2호선,235,문래,494418,516423,89485,88440
Jun-22,2호선,236,영등포구청,482961,505867,94537,94163
Jun-22,2호선,237,당산,448819,522271,57315,62719
Jun-22,2호선,238,합정,832274,910324,66386,67132
Jun-22,2호선,239,홍대입구,1638384,1774322,92453,89416
Jun-22,2호선,240,신촌,863076,881171,116980,114549
Jun-22,2호선,241,이대,336055,357608,46177,47981
Jun-22,2호선,242,아현,231607,215140,61419,61058
Jun-22,2호선,243,충정로(경기대입구),217199,233674,44741,44894
Jun-22,2호선,244,용답,64332,63420,16494,16276
Jun-22,2호선,245,신답,36676,40739,9242,9855
Jun-22,2호선,246,신설동,71771,68036,31627,33092
Jun-22,2호선,247,도림천,28226,28769,7935,8593
Jun-22,2호선,248,양천구청,144813,148158,47395,47693
Jun-22,2호선,249,신정네거리,221497,223866,68371,69329
Jun-22,2호선,250,용두(동대문구청),43001,41838,21471,22751
Jun-22,3호선,309,지축,117337,107140,27101,25854
Jun-22,3호선,310,구파발,474141,464937,114807,110444
Jun-22,3호선,311,연신내,775829,725306,247292,238486
Jun-22,3호선,312,불광,326645,348085,133400,147029
Jun-22,3호선,313,녹번,355050,307789,74253,72457
Jun-22,3호선,314,홍제,361178,333046,134172,131609
Jun-22,3호선,315,무악재,81059,79548,28374,30478
Jun-22,3호선,316,독립문,139771,148555,65896,65950
Jun-22,3호선,317,경복궁(정부서울청사),586455,623760,134033,147911
Jun-22,3호선,318,안국,559332,574134,101617,100186
Jun-22,3호선,319,종로3가,212909,261537,56270,64194
Jun-22,3호선,320,을지로3가,232819,242625,47163,44552
Jun-22,3호선,321,충무로,36,0,1,0
Jun-22,3호선,322,동대입구,211948,232136,36892,40676
Jun-22,3호선,323,약수,284339,276533,77276,73517
Jun-22,3호선,324,금호,170865,153698,51966,50607
Jun-22,3호선,325,옥수,197965,203869,57656,57476
Jun-22,3호선,326,압구정,752696,820242,129622,127143
Jun-22,3호선,327,신사,722069,771661,67483,66759
Jun-22,3호선,328,잠원,104623,101231,29642,28323
Jun-22,3호선,329,고속터미널,1179733,1153461,186879,179024
Jun-22,3호선,330,교대(법원.검찰청),314586,205325,69311,41079
Jun-22,3호선,331,남부터미널(예술의전당),693612,705728,115775,117499
Jun-22,3호선,332,양재(서초구청),847047,940289,145757,147282
Jun-22,3호선,333,매봉,267613,261414,61710,57457
Jun-22,3호선,334,도곡,120504,123751,24904,23644
Jun-22,3호선,335,대치,251989,250448,61658,59055
Jun-22,3호선,336,학여울,47144,49761,17182,17046
Jun-22,3호선,337,대청,222629,203491,57431,54844
Jun-22,3호선,338,일원,219247,208840,61639,61306
Jun-22,3호선,339,수서,391969,400179,103893,102441
Jun-22,3호선,340,가락시장,172572,169418,72459,70779
Jun-22,3호선,341,경찰병원,153556,151481,40141,41318
Jun-22,3호선,342,오금,140304,124799,28590,27540
Jun-22,4호선,409,당고개,185032,159967,71628,70225
Jun-22,4호선,410,상계,420916,382856,114903,112864
Jun-22,4호선,411,노원,443802,514089,87974,87341
Jun-22,4호선,412,창동,528336,561575,189874,196177
Jun-22,4호선,413,쌍문,647212,580526,155891,152936
Jun-22,4호선,414,수유(강북구청),764990,759495,182152,182233
Jun-22,4호선,415,미아(서울사이버대학),313670,293762,104151,105705
Jun-22,4호선,416,미아사거리,593716,569425,173002,171370
Jun-22,4호선,417,길음,476837,462088,111881,111794
Jun-22,4호선,418,성신여대입구(돈암),495473,472971,81266,79247
Jun-22,4호선,419,한성대입구(삼선교),319799,311741,69258,68091
Jun-22,4호선,420,혜화,817581,836904,122769,121059
Jun-22,4호선,421,동대문,391037,408377,152475,147019
Jun-22,4호선,422,동대문역사문화공원(DDP),374139,337572,55941,49194
Jun-22,4호선,423,충무로,589784,628053,110245,113038
Jun-22,4호선,424,명동,519995,547338,61160,62746
Jun-22,4호선,425,회현(남대문시장),490517,523086,191008,191242
Jun-22,4호선,426,서울역,271007,478174,37113,49378
Jun-22,4호선,427,숙대입구(갈월),332220,321641,51125,47440
Jun-22,4호선,428,삼각지,129409,156858,25768,27922
Jun-22,4호선,429,신용산,431844,459149,53014,54863
Jun-22,4호선,430,이촌(국립중앙박물관),212983,234064,53335,53817
Jun-22,4호선,431,동작(현충원),33839,38104,18500,17583
Jun-22,4호선,432,총신대입구(이수),387761,425401,143963,150729
Jun-22,4호선,433,사당,656363,556300,95350,95871
Jun-22,4호선,434,남태령,29845,24318,8678,7991
Jun-22,경부선,1001,서울역,235060,67722,14909,3092
Jun-22,경부선,1002,남영,224183,235565,35021,36554
Jun-22,경부선,1003,용산,1023817,1042657,129074,127975
Jun-22,경부선,1004,노량진,203504,197826,37937,35312
Jun-22,경부선,1005,대방,255159,276392,60442,61740
