"행정구역","2022년06월_계_총인구수","2022년06월_계_연령구간인구수","2022년06월_계_0~9세","2022년06월_계_10~19세","2022년06월_계_20~29세","2022년06월_계_30~39세","2022년06월_계_40~49세","2022년06월_계_50~59세","2022년06월_계_60~69세","2022년06월_계_70~79세","2022년06월_계_80~89세","2022년06월_계_90~99세","2022년06월_계_100세 이상","2022년06월_남_총인구수","2022년06월_남_연령구간인구수","2022년06월_남_0~9세","2022년06월_남_10~19세","2022년06월_남_20~29세","2022년06월_남_30~39세","2022년06월_남_40~49세","2022년06월_남_50~59세","2022년06월_남_60~69세","2022년06월_남_70~79세","2022년06월_남_80~89세","2022년06월_남_90~99세","2022년06월_남_100세 이상","2022년06월_여_총인구수","2022년06월_여_연령구간인구수","2022년06월_여_0~9세","2022년06월_여_10~19세","2022년06월_여_20~29세","2022년06월_여_30~39세","2022년06월_여_40~49세","2022년06월_여_50~59세","2022년06월_여_60~69세","2022년06월_여_70~79세","2022년06월_여_80~89세","2022년06월_여_90~99세","2022년06월_여_100세 이상"
"서울특별시  (1100000000)","9,494,807","9,494,807","564,739","752,985","1,412,722","1,430,728","1,470,923","1,507,380","1,290,741","710,430","309,902","42,531","1,726","4,605,655","4,605,655","289,913","385,355","677,376","714,657","728,070","742,728","609,843","322,737","123,551","11,000","425","4,889,152","4,889,152","274,826","367,630","735,346","716,071","742,853","764,652","680,898","387,693","186,351","31,531","1,301"
"서울특별시 종로구 (1111000000)","143,624","143,624","6,703","10,176","22,674","19,363","20,540","24,745","20,405","11,637","6,390","951","40","69,513","69,513","3,385","5,035","10,818","9,634","9,937","12,381","10,234","5,200","2,577","298","14","74,111","74,111","3,318","5,141","11,856","9,729","10,603","12,364","10,171","6,437","3,813","653","26"
"서울특별시 종로구 청운효자동(1111051500)","11,803","11,803","696","1,135","1,501","1,538","2,072","1,905","1,405","934","547","67","3","5,430","5,430","358","599","732","699","910","868","646","370","226","21","1","6,373","6,373","338","536","769","839","1,162","1,037","759","564","321","46","2"
"서울특별시 종로구 사직동(1111053000)","9,310","9,310","535","664","1,168","1,472","1,436","1,543","1,204","710","489","88","1","4,154","4,154","269","289","512","638","637","703","573","290","205","37","1","5,156","5,156","266","375","656","834","799","840","631","420","284","51","0"
"서울특별시 종로구 삼청동(1111054000)","2,386","2,386","91","167","294","294","341","370","407","238","153","28","3","1,130","1,130","42","95","145","131","165","187","186","110","54","14","1","1,256","1,256","49","72","149","163","176","183","221","128","99","14","2"
"서울특별시 종로구 부암동(1111055000)","9,432","9,432","472","833","1,193","1,189","1,521","1,661","1,338","735","409","77","4","4,490","4,490","232","462","608","596","679","769","625","334","166","19","0","4,942","4,942","240","371","585","593","842","892","713","401","243","58","4"
"서울특별시 종로구 평창동(1111056000)","17,963","17,963","1,137","1,543","2,258","2,146","2,661","3,256","2,695","1,323","785","151","8","8,368","8,368","603","752","1,112","1,003","1,192","1,462","1,285","600","319","38","2","9,595","9,595","534","791","1,146","1,143","1,469","1,794","1,410","723","466","113","6"
"서울특별시 종로구 무악동(1111057000)","8,150","8,150","608","956","861","872","1,369","1,438","1,053","591","358","39","5","3,782","3,782","272","422","405","398","645","729","502","250","146","12","1","4,368","4,368","336","534","456","474","724","709","551","341","212","27","4"
"서울특별시 종로구 교남동(1111058000)","9,947","9,947","799","781","1,159","1,541","1,768","1,588","1,195","706","375","33","2","4,580","4,580","395","366","543","692","827","767","550","273","158","9","0","5,367","5,367","404","415","616","849","941","821","645","433","217","24","2"
"서울특별시 종로구 가회동(1111060000)","4,026","4,026","175","300","468","534","668","698","569","381","199","34","0","1,846","1,846","98","145","210","246","322","325","264","154","76","6","0","2,180","2,180","77","155","258","288","346","373","305","227","123","28","0"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,199","7,199","178","207","983","965","908","1,261","1,400","813","417","62","5","4,270","4,270","91","107","483","555","557","868","923","458","208","16","4","2,929","2,929","87","100","500","410","351","393","477","355","209","46","1"
"서울특별시 종로구 종로5.6가동(1111063000)","5,056","5,056","86","195","1,131","759","518","881","762","468","225","29","2","2,685","2,685","40","89","515","443","311","510","444","224","98","10","1","2,371","2,371","46","106","616","316","207","371","318","244","127","19","1"
"서울특별시 종로구 이화동(1111064000)","7,231","7,231","216","347","1,627","1,216","887","1,093","915","570","315","43","2","3,431","3,431","107","166","759","603","445","551","424","251","108","16","1","3,800","3,800","109","181","868","613","442","542","491","319","207","27","1"
